"","median..midpoint.","median..lower.limit.","median..upper.limit.","mean..midpoint.","mean..lower.limit.","mean..upper.limit.","mean","Amp","Baseline","Period"
"A1",22.6510208639897,22.5693949013631,22.732942040458,22.3718812888457,22.2912612427589,22.4527929107102,2372198.41926754,1862.94026079525,19362.3696272726,22.6510208639897
"A2",22.488063088736,22.4070243660998,22.5693949013631,22.3564126643469,22.2758483615033,22.4372683413635,1927759.28641753,1525.72718052608,19235.7850340635,22.488063088736
"A3",22.488063088736,22.4070243660998,22.5693949013631,22.3315926629748,22.2511178023032,22.4123585743369,1963594.94448128,1524.33539922268,19805.0350305361,22.488063088736
